business_id,business_name,business_address,business_postal_code,inspection_date,inspection_score,inspection_type,violation_description,risk_category,current_supervisor_districts
5854,Gateway High/Kip Schools,1430 Scott St,94115,2018-12-10,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,11.0
34244,Vital Tea Leaf Inc,905 Grant Ave,94108,2018-12-17,98.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,3.0
35340,Cornerstone Academy,501 Cambridge St,94134,2017-09-06,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,2.0
59041,Nina's Cafe,201 Fell St,94102,2019-07-29,98.0,Routine - Unscheduled,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,11.0
1399,La Copa Loca,3150 22nd St,94110,2016-11-03,98.0,Routine - Unscheduled,Improper food labeling or menu misrepresentation,Low Risk,2.0
7105,CENTRAL HAIGHT MARKET,1301 HAIGHT St,94117,2019-06-11,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,11.0
14075,BLUE BOTTLE COFFEE LLC,315 LINDEN ST,94102,2019-06-04,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,11.0
34591,La Laguna,3906 03rd St,94124,2017-07-25,86.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk,9.0
2136,STARBUCKS COFFEE CO.,100 WEST PORTAL Ave,94122,2017-10-30,98.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk,8.0
5852,CARVER ELEMENTARY SCHOOL,1360 OAKDALE Ave,94124,2019-02-15,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,9.0
21583,Cafe Royale,800 Post St,94109,2017-10-03,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,3.0
7652,GROVE ST. MARKET,500 GROVE St,94102,2018-03-08,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,11.0
63576,Angkor Borei Restaurant,3471 MISSION St,94110,2018-01-05,94.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,2.0
